name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Alaa Abdelnaby,43,290,55,116,0,25,44,89,12,4,12,22,135,1991
Mahmoud Abdul-Rauf,67,1505,417,1009,24,84,98,121,206,55,4,110,942,1991
Mark Acres,68,1313,109,214,1,66,101,359,25,25,25,42,285,1991
Michael Adams,66,2346,560,1421,167,465,529,256,693,147,6,240,1752,1991
Mark Aguirre,78,2006,420,909,24,240,317,374,139,47,20,128,1104,1991
Danny Ainge,80,1710,337,714,102,114,138,205,285,63,13,100,890,1991
Mark Alarie,42,587,99,225,5,41,48,117,45,15,8,40,244,1991
Steve Alford,34,236,59,117,7,26,31,24,22,8,1,16,151,1991
Greg Anderson,68,924,116,270,0,60,115,318,16,35,45,84,292,1991
Nick Anderson,70,1971,400,857,17,173,259,386,106,74,44,113,990,1991
Ron Anderson,82,2340,512,1055,9,165,198,367,115,65,13,100,1198,1991
Willie Anderson,75,2592,453,991,7,170,213,351,358,79,46,167,1083,1991
Michael Ansley,67,877,144,263,0,91,127,253,25,27,7,32,379,1991
B.J. Armstrong,82,1731,304,632,15,97,111,149,301,70,4,107,720,1991
Vincent Askew,7,85,12,25,0,9,11,11,13,2,0,6,33,1991
Keith Askins,39,266,34,81,6,12,25,68,19,16,13,11,86,1991
Miloš Babić,12,52,6,19,0,7,12,9,4,1,1,5,19,1991
Thurl Bailey,82,2486,399,872,0,219,271,407,124,53,91,130,1017,1991
Cedric Ball,7,26,3,8,0,2,2,11,0,0,2,2,8,1991
Ken Bannister,47,339,43,81,0,25,65,96,9,5,7,25,111,1991
Charles Barkley*,67,2498,665,1167,44,475,658,680,284,110,33,210,1849,1991
Dana Barros,66,750,154,311,32,78,85,71,111,23,1,54,418,1991
John Battle,79,1863,397,862,14,270,316,159,217,45,6,113,1078,1991
Kenny Battle,56,945,133,282,3,70,93,176,62,60,18,53,339,1991
William Bedford,60,562,106,242,5,55,78,131,32,2,36,32,272,1991
Benoit Benjamin,70,2236,386,778,0,210,295,723,119,54,145,235,982,1991
