measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All Ages,391,Other nutritional deficiencies,1,Number,1990,100838.82734420316,151025.15306504277,54507.2523496443
1,Deaths,1,Global,3,Both,22,All Ages,393,Sexually transmitted infections excluding HIV,1,Number,1990,106524.80027730367,216439.31423389746,40670.70236110289
1,Deaths,1,Global,3,Both,22,All Ages,400,Acute hepatitis,1,Number,1990,166404.78286371336,189945.1862137427,136144.26026716578
1,Deaths,1,Global,3,Both,22,All Ages,408,Other unspecified infectious diseases,1,Number,1990,64857.97218552062,76942.73105572317,41755.009589964095
1,Deaths,1,Global,3,Both,22,All Ages,411,Esophageal cancer,1,Number,1990,319331.6212724109,350801.5772050766,248666.04125898788
1,Deaths,1,Global,3,Both,22,All Ages,414,Stomach cancer,1,Number,1990,788316.9582994808,833998.7581176799,742786.8571220138
1,Deaths,1,Global,3,Both,22,All Ages,417,Liver cancer,1,Number,1990,365214.9501835476,405773.5072371742,329967.11615848675
1,Deaths,1,Global,3,Both,22,All Ages,535,Pancreatitis,1,Number,1990,69817.64174707404,82529.26004932246,62046.67218861946
1,Deaths,1,Global,3,Both,22,All Ages,541,Other digestive diseases,1,Number,1990,62488.368331466176,77364.11522500581,49726.004364890105
1,Deaths,1,Global,3,Both,22,All Ages,543,Alzheimer's disease and other dementias,1,Number,1990,560934.7543666514,1546915.4969211414,135270.38305783656
1,Deaths,1,Global,3,Both,22,All Ages,544,Parkinson's disease,1,Number,1990,147237.55391029103,158062.95909531586,137334.5500460169
1,Deaths,1,Global,3,Both,22,All Ages,545,Idiopathic epilepsy,1,Number,1990,100054.05491243412,112226.36371336212,81176.20535708597
1,Deaths,1,Global,3,Both,22,All Ages,546,Multiple sclerosis,1,Number,1990,13356.002424834203,17571.080743268634,11903.51711635053
1,Deaths,1,Global,3,Both,22,All Ages,554,Motor neuron disease,1,Number,1990,17653.171959220625,18269.681149179192,17010.691040601858
